Geneid,<2C,G1,S,G2M,>4C,desc,class,selected
Tb927.7.7120,0.002941202594994758,0.31405108961551137,1.0,0.5985892114556899,0.11345207286853425,kinesin  putative,S,yes
Tb927.3.4520,0.021489939610910492,1.0,0.8854473896223573,0.1328168998715961,0.0,hypothetical protein  conserved,G1,yes
Tb927.7.3550,5.909464705951206e-06,0.005028654921878385,0.01643034321982239,0.036001162288511294,1.0,cytoskeleton associated protein  putative,>4C,yes
Tb927.7.3540,0.005435385798476943,1.0,0.40210497622819225,0.3893420640668909,0.12622894533339135,hypothetical protein  conserved,G1,yes
Tb927.11.11640,0.1497386090965365,0.29538756462547905,1.0,0.5342870540699062,0.10367491114969274,DNA replication licensing factor MCM6,S,yes
Tb927.3.4590,0.037475632858235707,0.5322538559304064,0.1958502274162751,1.0,0.0002692756391620734,hypothetical protein  conserved,G2M,yes
Tb927.5.2330,0.0339153472230442,1.0,0.49539591982779213,0.22643923754894235,0.032837483529664695,hypothetical protein  conserved,G1,yes
Tb927.7.3440,0.0008058833744705741,0.06518926506957136,0.029692837426169533,0.01706564090153568,1.0,I/6 autoantigen,>4C,yes
Tb927.7.3410,0.006498531280805376,0.09533437626341706,0.07171317716999644,0.09405663328860038,1.0,centrin-4,>4C,yes
Tb927.9.16950,0.06028938205998775,0.45948786849499934,0.3249304329967234,1.0,0.20445578506831746,hypothetical protein,G2M,yes
Tb927.10.8560,0.0,1.0,0.0972063709730183,0.4416180648390473,0.009045135637127593,small GTPase  putative,G1,yes
Tb927.5.2380,0.0012739303130859456,0.3733133250390801,0.40585051992483356,1.0,0.19219466119862605,hydrolase  alpha/beta fold family  putative,G2M,yes
Tb927.7.3370,0.002443269634756806,0.06019713565464262,0.10662013007379598,0.16009109331369697,1.0,Intraflagellar transport protein 74  putative,>4C,yes
Tb927.5.2410,0.0007588698555841173,0.09364938629658959,0.148771996799122,0.4530391838471005,1.0,kinesin  putative,>4C,yes
Tb927.10.8630,0.06169195740423059,1.0,0.4191475195024228,0.5239638916084995,0.3681397341039455,Sucrase/ferredoxin-like  putative,G1,yes
Tb927.11.11440,2.7078940790995734e-08,0.08103201208608095,0.5387544639031209,1.0,0.08434860443197267,A/G-specific adenine glycosylase  putative,G2M,yes
Tb927.3.4810,0.48514353687417167,0.23463320045390176,1.0,0.7758376556706925,0.03192637747599974,dna replication complex gins protein sld5,S,yes
Tb927.10.8700,0.0,0.5774187994246603,1.0,0.11511239862382226,0.009221061362953583,selenoprotein  putative,S,yes
Tb927.10.8710,0.0,0.5854410552656552,0.26193855341010197,1.0,0.1875947319089917,centrin-3,G2M,yes
Tb927.7.3190,0.0064596079418375195,1.0,0.38972265428429254,0.5530876509562566,0.06729452577942081,Pseudokinase  putative,G1,yes
Tb927.10.8730,0.00042749582087265404,1.0,0.26969231470661137,0.4763211851828243,0.050137074189042695,ABC1 family  putative,G1,yes
Tb927.3.4890,0.005528352676626145,0.3936398182374727,0.1599440123159076,1.0,0.0006221634697955789,ubiquinone biosynthesis protein COQ7 homolog  putative,G2M,yes
