Geneid,<2C (LG1),G1,S,G2M,>4C (GG2M),desc,class
Tb927.8.270,11625.0,11623.0,11625.0,11635.0,11527.0,variant surface glycoprotein  degenerate,G2M
Tb927.8.280,8578.0,6159.0,5637.0,6935.5,4680.5,variant surface glycoprotein (VSG)  putative,<2C (LG1)
Tb927.8.290,3929.5,5104.5,5661.5,5470.0,3524.0,variant surface glycoprotein  degenerate,S
Tb927.8.300,8976.0,8809.0,7802.5,8454.0,6945.5,variant surface glycoprotein  degenerate,<2C (LG1)
Tb927.8.310,8537.5,7373.0,7736.0,7072.0,7788.0,variant surface glycoprotein  degenerate,<2C (LG1)
Tb927.8.320,8365.0,9248.0,9246.0,9173.0,6631.0,variant surface glycoprotein  degenerate,G1
Tb927.8.330,2357.5,2296.0,3514.5,3588.0,3033.0,variant surface glycoprotein  point mutation,G2M
Tb927.8.340,9886.0,8741.5,8253.0,9226.5,8006.0,variant surface glycoprotein  degenerate,<2C (LG1)
Tb927.8.350,8039.5,8167.5,8543.0,8328.0,5411.5,variant surface glycoprotein  point mutation,S
Tb927.8.360,4910.5,6101.0,6385.5,7859.5,3566.5,variant surface glycoprotein  degenerate,G2M
Tb927.8.370,2137.5,3552.0,4695.5,5168.5,1266.0,expression site-associated gene 3 (ESAG3)  degenerate,G2M
Tb927.8.380,1783.5,3625.0,3116.5,3463.5,2376.0,variant surface glycoprotein  degenerate,G1
Tb927.8.390,2598.0,867.5,743.0,862.0,697.5,expression site-associated gene 3 (ESAG3)  degenerate,<2C (LG1)
Tb927.8.400,4465.0,3008.5,3127.0,3492.0,4051.0,variant surface glycoprotein  frameshift,<2C (LG1)
Tb927.8.410,1460.0,413.0,471.5,464.0,213.0,variant surface glycoprotein  degenerate,<2C (LG1)
Tb927.8.420,1783.5,2429.0,1870.0,2506.5,3606.5,variant surface glycoprotein  frameshift,>4C (GG2M)
Tb927.8.430,2481.0,5896.0,6270.5,5481.5,4468.5,variant surface glycoprotein  degenerate,S
Tb927.8.440,4425.0,8031.0,7108.0,6129.0,9606.5,variant surface glycoprotein  frameshift,>4C (GG2M)
Tb927.8.443,5304.0,3273.5,2425.0,2725.0,1842.0,M4 ribosomal RNA,<2C (LG1)
Tb927.8.446,612.5,235.5,210.0,82.5,86.0,M6 ribosomal RNA,<2C (LG1)
Tb927.8.449,4389.0,2128.0,1771.5,2168.5,1010.0,M2 ribosomal RNA,<2C (LG1)
Tb927.8.450,2943.0,2402.0,1634.5,2302.0,2914.5,expression site-associated gene 3 (ESAG3)  degenerate,<2C (LG1)
Tb927.8.460,7421.0,2785.5,2226.5,2290.0,1944.0,variant surface glycoprotein (VSG  atypical)  putative,<2C (LG1)
Tb927.8.470,8680.5,10408.0,10643.0,9661.0,10195.5,variant surface glycoprotein  degenerate,S
Tb927.8.480,7713.0,7285.5,7991.5,8505.0,9601.5,phosphatidic acid phosphatase protein  putative,>4C (GG2M)
Tb927.8.490,612.5,543.0,562.5,577.5,584.5,hypothetical protein,<2C (LG1)
Tb927.8.500,1783.5,6170.0,5512.0,5608.0,5841.5,hypothetical protein,G1
Tb927.8.510,1988.0,4928.0,3801.5,5470.0,4839.5,hypothetical protein,G2M
Tb927.8.520,9594.0,8587.5,8381.5,7540.0,5963.0,hypothetical protein,<2C (LG1)
Tb927.8.530,612.5,1536.0,2172.5,705.5,2389.0,leucine-rich repeat protein (LRRP)  point mutation,>4C (GG2M)
Tb927.8.540,11621.0,11612.0,11601.0,11627.0,11558.0,N-terminal region of Chorein  a TM vesicle-mediated sorter  putative,G2M
Tb927.8.550,5799.0,4481.0,3205.5,4598.0,5125.0,peptide methionine sulfoxide reductase  putative,<2C (LG1)
Tb927.8.560,6158.0,8611.0,8211.5,8000.5,7038.0,hypothetical protein  conserved,G1
Tb927.8.570,7558.5,5746.5,7165.0,8676.0,10232.5,proteasome regulatory non-ATP-ase subunit 10,>4C (GG2M)
Tb927.8.580,1460.0,5834.5,5981.0,5419.5,4096.5,MICOS complex subunit 40,S
Tb927.8.590,5063.0,10291.5,10360.5,10628.0,9872.5,carnitine O-palmitoyltransferase  putative,G2M
Tb927.8.595,6254.0,3625.0,3618.0,3503.0,2336.0,hypothetical protein,<2C (LG1)
Tb927.8.600,2930.5,2272.0,1623.0,2009.0,1860.5,Bucentaur or craniofacial development  putative,<2C (LG1)
Tb8.NT.8,612.5,279.5,336.0,273.5,287.0,Noncoding RNA  putative,<2C (LG1)
Tb927.8.610,11243.5,11173.5,10657.0,10671.5,10530.0,hypothetical protein  conserved,<2C (LG1)
Tb927.8.620,6324.5,5967.0,8896.0,6815.5,8360.5,KREPA3,S
Tb927.8.630,5286.0,4615.5,4130.5,4567.5,5953.5,lipoyltransferase  putative,>4C (GG2M)
Tb927.8.640,7923.0,5261.5,5129.0,3897.5,8273.0,Dpy-30 motif containing protein  putative,>4C (GG2M)
Tb927.8.650,10396.0,10778.0,10415.5,9634.0,9950.5,cation-transporting ATPase  putative,G1
Tb927.8.660,4527.5,738.5,1446.0,1187.5,5161.0,Sel1 repeat  putative,>4C (GG2M)
Tb927.8.670,6450.5,4553.0,4434.0,5050.5,3693.0,hypothetical protein  conserved,<2C (LG1)
Tb927.8.680,3328.5,5600.0,6664.0,7264.0,4429.0,KREPA5,G2M
Tb8.NT.9,6516.5,3499.5,2812.5,2956.0,3836.0,Noncoding RNA  putative,<2C (LG1)
Tb927.8.690,3078.5,2920.5,3308.0,5307.5,4411.5,peptidyl-prolyl cis-trans isomerase/rotamase  putative,G2M
Tb927.8.700,11005.0,11482.0,11466.5,11490.0,11248.0,DNA repair and recombination helicase protein PIF7,G2M
Tb927.8.710,7564.5,9124.0,10290.5,10000.5,9972.5,RNA-binding protein  putative,S
Tb8.NT.11,7496.0,3256.0,3148.0,4235.5,4276.5,Noncoding RNA  putative,<2C (LG1)
Tb927.8.720,9155.0,3579.0,2729.5,3878.0,4617.5,Cytosolic iron-sulfur protein assembly 2B  putative,<2C (LG1)
Tb927.8.730,7755.5,7184.0,5945.5,6779.5,6281.0,nucleolar RNA-binding protein  putative,<2C (LG1)
Tb927.8.740,612.5,2741.5,1510.5,2223.0,1304.5,nucleolar RNA-binding protein (fragment),G1
Tb927.8.750,6243.0,3336.0,3940.5,3588.0,4748.5,nucleolar RNA-binding protein  putative,<2C (LG1)
Tb927.8.760,612.5,2409.5,2764.5,2483.5,874.5,nucleolar RNA-binding protein,S
Tb927.8.770,8811.0,9899.0,9612.0,9653.5,8121.0,SUMO-interacting motif-containing protein,G1
Tb927.8.780,5006.5,9904.0,10142.0,9710.5,8575.0,hypothetical protein  conserved,S
Tb927.8.790,10679.0,11325.0,11292.0,11172.0,10955.5,hypothetical protein  conserved,G1
Tb927.8.800,10983.0,11330.0,11350.0,11347.0,11210.5,Domain of unknown function (DUF3437)  putative,S
Tb927.8.810,7532.5,7905.5,7526.5,7047.0,11236.5,radial spoke protein RSP9  putative,>4C (GG2M)
Tb927.8.820,1460.0,9475.0,9433.0,9140.5,8862.0,VID27 cytoplasmic protein  putative,G1
Tb927.8.830,9640.0,11137.0,11076.5,11111.0,10141.5,Protein of unknown function (DUF3608)  putative,G1
Tb927.8.840,9128.5,10597.5,10731.5,10669.5,10968.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.8.850,10660.5,9724.5,9457.0,9086.5,9087.0,hypothetical protein  conserved,<2C (LG1)
Tb927.8.860,2381.5,6992.5,7124.5,6909.0,6405.0,hypothetical protein  conserved,S
Tb927.8.870,11233.0,10704.5,10819.0,10839.0,10305.0,CAMK/CAMKL family protein kinase  putative,<2C (LG1)
Tb927.8.880,10939.0,9696.0,9717.0,9270.5,9589.0,hypothetical protein,<2C (LG1)
Tb927.8.890,6301.5,2011.0,1791.5,3557.0,5220.0,Ras-related protein Rab1A,<2C (LG1)
Tb8.NT.13,5241.5,1536.0,1041.5,1911.5,1622.5,Noncoding RNA  putative,<2C (LG1)
Tb927.8.900,10313.0,7985.5,7461.5,8219.0,9027.0,splicing factor TSR1,<2C (LG1)
Tb927.8.910,8702.0,10941.0,10412.5,10825.5,10152.0,hypothetical protein  conserved,G1
Tb927.8.920,612.5,2283.0,1831.0,1936.0,3386.5,ubiquitin-conjugating enzyme E2  putative,>4C (GG2M)
Tb927.8.930,9480.5,8192.0,8066.5,8309.0,7506.0,hypothetical protein,<2C (LG1)
Tb927.8.940,11397.0,11366.0,11486.5,11636.0,11705.0,Flagella connector protein 1,>4C (GG2M)
Tb927.8.950,9865.0,9939.0,9488.0,9686.5,9021.5,hypothetical protein,G1
Tb927.8.960,11420.0,11372.0,11471.0,11639.0,11706.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.8.970,9892.5,10204.5,10133.0,10020.5,8611.0,hypothetical protein,G1
Tb927.8.980,9016.0,9584.5,10073.5,9063.5,8563.0,phosphoacetylglucosamine mutase,S
Tb927.8.990,3358.0,5683.5,5759.5,5004.5,6392.5,RNA-binding protein 33 (RNA-binding motif protein 33),>4C (GG2M)
Tb927.8.1000,3882.5,10656.5,10907.0,10982.5,10905.0,hypothetical protein  conserved,G2M
Tb927.8.1010,1783.5,3973.5,4398.0,4112.0,3260.0,chaperone protein DnaJ  putative,S
Tb927.8.1020,11113.5,10664.0,10724.5,10532.0,10986.5,6-phosphofructo-2-kinase/fructose-2 6-biphosphatase  putative,<2C (LG1)
Tb927.8.1030,6787.5,9211.0,9363.5,9786.5,9254.0,chaperone protein DnaJ  putative,G2M
Tb927.8.1040,6381.5,6295.0,6577.0,6892.0,6328.0,protein phosphatase inhibitor  putative,G2M
Tb927.8.1050,11569.0,11276.0,11409.0,11360.0,10610.0,SUMO-interacting motif-containing protein,<2C (LG1)
Tb927.8.1060,7074.5,7967.5,7209.5,7422.0,5898.0,malonyl-CoA decarboxylase  mitochondrial precursor  putative,G1
Tb927.8.1070,10239.0,9387.5,9598.0,9489.5,7918.5,hypothetical protein  conserved,<2C (LG1)
Tb927.8.1080,8516.5,5600.0,6480.0,7662.5,9423.0,centrin  putative,>4C (GG2M)
Tb927.8.1090,10104.5,7572.5,6460.5,6774.5,10396.0,NPAPL,>4C (GG2M)
Tb927.8.1100,10439.0,10783.0,10674.0,10093.0,9689.0,STE/STE11 serine/threonine-protein kinase  putative,G1
Tb927.8.1110,3822.0,1506.5,1886.0,1044.0,2089.0,40S ribosomal protein S9  putative,<2C (LG1)
Tb927.8.1120,2137.5,2701.5,2812.5,2577.5,1944.0,hypothetical protein  conserved,S
Tb927.8.1130,2658.5,11127.5,11217.5,11203.5,11131.5,protein phosphatase with EF-Hand domains  putative,S
Tb927.8.1140,4182.0,5841.0,7033.5,5782.0,7392.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.8.1150,6061.5,3552.0,3260.0,3332.5,3447.0,kinetoplastid kinetochore protein 9,<2C (LG1)
Tb927.8.1160,9375.0,9233.0,8596.0,7993.0,8067.0,vacuolar-type Ca2+-ATPase  putative,<2C (LG1)
