Geneid,<2C (LG1),G1,S,G2M,>4C (GG2M),desc,class,selected
Tb10.v4.0073,3.5650623885918,641.711229946524,468.8057040998217,529.4117647058823,536.5418894830659,variant surface glycoprotein (VSG  pseudogene)  putative,G1,0
Tb927.11.17380,38.14713896457766,168.02906448683015,229.79109900090828,168.93732970027247,29.064486830154404,variant surface glycoprotein (VSG)  frameshifted and interrupted,S,0
Tb927.11.17390,699.6871741397289,1031.2825860271116,852.9718456725757,787.2784150156414,1095.9332638164756,expression site-associated gene 3 (ESAG3)  frameshifted and degenerate,>4C (GG2M),0
Tb927.11.17400,3445.7831325301204,1843.373493975904,1182.7309236947792,1459.8393574297186,1246.987951807229,variant surface glycoprotein (VSG)  fragment,<2C (LG1),0
Tb927.11.17410,957.2649572649573,1183.7606837606838,930.1994301994304,837.6068376068376,813.3903133903134,variant surface glycoprotein (VSG)  frameshifted,G1,0
Tb927.11.17420,8.810572687224669,640.9691629955948,610.1321585903082,475.7709251101322,696.0352422907489,expression site-associated gene 3 (ESAG3)  degenerate and frameshifted fragment,>4C (GG2M),0
Tb927.11.17430,169.1823899371069,277.3584905660377,258.49056603773585,179.24528301886792,194.96855345911945,variant surface glycoprotein (VSG)  fragment,G1,0
Tb927.11.17440,1.6816143497757847,190.02242152466368,124.43946188340807,181.05381165919286,42.600896860986545,variant surface glycoprotein (VSG)  degenerate,G1,0
Tb927.11.17450,101.88554416142904,407.2113794244128,316.242143565994,259.01422428051603,151.83592457823352,variant surface glycoprotein (VSG)  frameshifted and degenerate,G1,0
Tb927.11.17370,0.0,102.72536687631028,41.22990915443746,44.72396925227114,46.12159329140461,variant surface glycoprotein (VSG)  putative,G1,0
Tb927.11.17460,113.60677083333331,298.9908854166667,256.0221354166667,164.55078125,155.11067708333334,variant surface glycoprotein (VSG)  frameshifted and interrupted,G1,0
Tb927.11.17480,158.39243498817967,182.033096926714,198.58156028368802,219.8581560283688,26.004728132387708,variant surface glycoprotein (VSG)  degenerate,G2M,0
Tb927.11.17490,0.0,910.4116222760292,699.7578692493947,653.7530266343826,733.6561743341405,variant surface glycoprotein (VSG)  point mutation,G1,0
Tb927.11.17500,204.59770114942532,417.62452107279694,298.0842911877395,294.25287356321843,358.62068965517244,variant surface glycoprotein (VSG)  putative,G1,0
Tb927.11.17510,0.639386189258312,295.3964194373402,278.77237851662403,242.32736572890025,155.3708439897698,variant surface glycoprotein (VSG  pseudogene)  putative,G1,0
Tb927.11.17520,426.1968085106383,319.81382978723406,243.35106382978717,246.0106382978724,36.56914893617022,variant surface glycoprotein (VSG  pseudogene)  putative,<2C (LG1),0
Tb927.11.17530,356.06557377049177,64.26229508196721,38.032786885245905,29.508196721311478,36.72131147540984,variant surface glycoprotein (VSG  pseudogene)  putative,<2C (LG1),0
Tb927.11.17540,167.86617389612914,265.60980354016726,218.24547753355372,150.7488815405563,139.36977241781756,variant surface glycoprotein (VSG  pseudogene)  putative,G1,0
Tb927.11.17550,249.72771121829786,403.2985840983352,242.2592189201805,248.17177532285672,242.57040609926872,variant surface glycoprotein (VSG)  frameshifted,G1,0
Tb927.11.17470,7.936507936507938,301.5873015873016,79.36507936507937,187.83068783068782,185.1851851851852,variant surface glycoprotein (VSG)  frameshifted and degenerate fragment,G1,0
Tb927.11.17360,600.3016591251885,464.5550527903469,293.36349924585215,203.61990950226243,177.2247360482654,variant surface glycoprotein (VSG)  degenerate,<2C (LG1),0
Tb927.11.17350,2.772002772002772,397.08939708939715,235.6202356202356,134.44213444213443,133.05613305613306,variant surface glycoprotein (VSG)  frameshifted and degenerate,G1,0
Tb927.11.17340,3.84985563041386,615.0144369586139,463.90760346487014,333.01251203079886,395.5726660250241,expression site-associated gene 3 (ESAG3)  frameshifted and degenerate,G1,0
Tb927.11.17150,156.25,31.25,21.25,27.5,53.75,variant surface glycoprotein (VSG)  frameshifted,<2C (LG1),0
Tb927.11.17160,0.0,132.46753246753244,114.28571428571428,158.44155844155844,153.24675324675326,variant surface glycoprotein (VSG)  degenerate and frameshifted,G2M,0
Tb927.11.17170,0.0,74.17046193884191,46.844502277163315,45.54326610279766,51.39882888744307,variant surface glycoprotein (VSG)  degenerate,G1,0
Tb927.11.17180,10.7421875,142.578125,82.03125,104.4921875,98.6328125,expression site-associated gene 3 (ESAG3)  degenerate and frameshifted,G1,0
Tb927.11.17190,231.5202231520223,294.97907949790795,205.71827057182708,207.81032078103212,204.32357043235703,variant surface glycoprotein (VSG)  putative,G1,0
Tb927.11.17200,12.82051282051282,132.47863247863248,111.11111111111109,34.188034188034194,64.1025641025641,expression site-associated gene 3 (ESAG3)  degenerate and frameshifted,G1,0
Tb927.11.17210,0.0,160.50354051927619,223.44610542879624,79.46498819826908,11.014948859166012,variant surface glycoprotein (VSG)  frameshifted and degenerate,S,0
Tb927.11.17220,597.7695167286247,502.6022304832714,494.4237918215613,432.7137546468401,387.3605947955391,variant surface glycoprotein (VSG)  degenerate and frameshifted,<2C (LG1),0
Tb927.11.17230,761.2359550561798,106.74157303370787,44.943820224719104,31.835205992509362,29.962546816479396,variant surface glycoprotein (VSG)  point mutation,<2C (LG1),0
Tb927.11.17240,24.070021881838073,522.9759299781182,207.8774617067833,371.9912472647702,72.21006564551422,variant surface glycoprotein (VSG)  fragment  degenerate,G1,0
Tb927.11.17250,263.6239782016349,388.283378746594,301.7711171662125,307.22070844686647,183.2425068119891,variant surface glycoprotein (VSG)  degenerate,G1,0
Tb927.11.17260,4.081632653061225,57.14285714285714,24.489795918367342,28.57142857142857,4.081632653061225,variant surface glycoprotein (VSG)  fragment  degenerate,G1,0
Tb927.11.17270,0.0,89.31419457735247,136.36363636363637,59.808612440191396,112.44019138755979,variant surface glycoprotein (VSG)  frameshifted and point mutation,S,0
Tb927.11.17280,381.6425120772946,819.1856452726017,627.3291925465838,533.4713595583161,589.3719806763285,variant surface glycoprotein (VSG)  point mutation,G1,0
Tb927.11.17290,150.44247787610618,228.6135693215339,255.8997050147493,232.3008849557522,145.2802359882006,variant surface glycoprotein (VSG)  point mutation,S,0
Tb927.11.17300,606.4981949458484,276.77496991576413,188.92900120336944,217.80986762936226,517.4488567990373,variant surface glycoprotein (VSG)  frameshifted and point mutated pseudogene,<2C (LG1),0
Tb927.11.17310,6.666666666666666,204.76190476190484,162.85714285714286,143.80952380952382,75.23809523809524,hypothetical protein  conserved  point mutation,G1,0
Tb927.11.17320,148.14814814814815,154.1005291005291,161.37566137566137,115.07936507936508,218.91534391534398,variant surface glycoprotein (VSG)  putative,>4C (GG2M),0
Tb927.11.17330,109.30074677528853,497.6238968092328,449.42294636795646,342.15885947046837,403.9375424304141,variant surface glycoprotein (VSG)  degenerate,G1,0
Tb927.11.17560,562.0915032679737,517.2735760971054,514.4724556489264,361.34453781512605,348.27264239028955,variant surface glycoprotein (VSG)  frameshifted and point mutation,<2C (LG1),0
Tb927.11.17140,0.0,167.81292984869327,153.3700137551582,92.15955983493812,319.8074277854195,variant surface glycoprotein (VSG)  degenerate and frameshifted,>4C (GG2M),0
Tb927.11.17570,1.3698630136986298,289.041095890411,152.7397260273973,126.02739726027396,17.808219178082194,variant surface glycoprotein (VSG)  frameshifted and degenerate,G1,0
Tb927.11.17590,171.60424818334263,240.9167132476244,168.80939072107324,154.83510340972612,277.8088317495808,variant surface glycoprotein (VSG)  frameshifted and point mutation,>4C (GG2M),0
Tb927.11.17830,484.27672955974856,517.8197064989519,364.77987421383654,373.1656184486374,352.2012578616352,hypothetical protein  conserved,G1,0
Tb927.11.17840,1018.867924528302,1241.745283018868,839.0330188679245,783.0188679245282,445.7547169811321,retrotransposon hot spot protein (RHS)  degenerate,G1,0
Tb927.11.17850,43.66812227074236,394.10480349344977,168.1222707423581,90.61135371179041,263.1004366812227,expression site-associated gene 9 (ESAG9)  fragment,G1,0
Tb927.11.17860,803.4246575342466,785.6164383561644,714.3835616438356,588.3561643835618,460.2739726027397,hypothetical protein  conserved,<2C (LG1),0
Tb927.11.17870,17.644006227296316,258.4327970939284,210.69019200830303,177.47794499221587,212.7659574468085,variant surface glycoprotein (VSG)  interrupted,G1,0
Tb927.11.17880,116.48745519713259,521.505376344086,433.69175627240134,226.70250896057343,131.72043010752688,expression site-associated gene 9 (ESAG9)  degenerate,G1,0
Tb927.11.17890,411.15408100956637,483.4113576226337,312.8434764909424,337.47201302666394,183.3910034602076,expression site-associated gene 1 (ESAG1) protein  putative,G1,0
Tb927.11.17900,3397.5535168195715,1865.4434250764527,1137.6146788990825,993.8837920489296,639.1437308868501,Trypanosomal VSG domain containing protein  putative,<2C (LG1),0
Tb927.11.17820,284.2246888664649,202.8254288597377,143.4577867473932,144.46686848301383,101.41271442986886,expression site-associated gene 3 (ESAG3)  degenerate,<2C (LG1),0
Tb927.11.17910,1451.9450800915329,1624.7139588100683,1131.578947368421,1058.3524027459957,870.7093821510298,hypothetical protein,G1,0
Tb927.11.17930,0.7037297677691766,180.8585503166784,172.41379310344828,144.9683321604504,121.04152005629837,variant surface glycoprotein (VSG)  degenerate and frameshifted,G1,0
Tb927.11.17940,1278.1774580335732,1561.1510791366907,1040.767386091127,764.9880095923262,822.5419664268585,variant surface glycoprotein (VSG)  fragment,G1,0
Tb927.11.17950,0.0,530.2593659942363,291.78674351585016,133.28530259365996,592.9394812680116,variant surface glycoprotein (VSG)  degenerate and frameshifted,>4C (GG2M),0
Tb927.11.17960,126.53061224489795,81.63265306122447,53.061224489795926,69.38775510204081,20.40816326530612,variant surface glycoprotein (VSG)  degenerate,<2C (LG1),0
Tb927.11.17970,0.0,4.5662100456621015,9.1324200913242,4.5662100456621015,4.5662100456621015,expression site-associated gene 3 (ESAG3)  fragment,S,0
Tb927.11.17980,2.6684456304202797,255.50366911274185,274.84989993328884,161.44096064042694,54.03602401601068,variant surface glycoprotein (VSG)  degenerate,S,0
Tb927.11.17990,1066.4556962025315,587.5527426160338,507.38396624472574,680.3797468354429,548.5232067510549,hypothetical protein  conserved  point mutation,<2C (LG1),0
Tb927.11.18000,146.34146341463415,268.2926829268293,288.6178861788618,276.42276422764235,239.83739837398372,variant surface glycoprotein (VSG)  frameshifted and point mutation,S,0
Tb927.11.17920,2.977963073257892,123.88326384752828,92.91244788564622,104.22870756402621,19.654556283502085,variant surface glycoprotein (VSG)  frameshifted,G1,0
Tb927.11.17810,2.316602316602317,415.4440154440154,393.0501930501931,196.13899613899616,130.5019305019305,variant surface glycoprotein (VSG)  frameshifted and degenerate,G1,0
Tb927.11.17800,0.0,562.6326963906582,445.859872611465,201.69851380042462,276.00849256900216,variant surface glycoprotein (VSG)  degenerate,G1,0
